app	total	age_1	age_2	age_3	age_4	age_5	age_6	gini	gain
住友生活	10537	82.0	2387.0	2227.0	2324.0	2354.0	1152.0	0.7964357436918978	1.6279631305207884
住多多	26928	90.0	11331.0	7471.0	3425.0	2813.0	1764.0	0.7964018921605142	1.627885206832246
侍魂胧月传说	50478	94.0	15420.0	16077.0	11789.0	6355.0	725.0	0.7963978358981765	1.6278289897282174
信任的进化	35945	295.0	15756.0	9448.0	4912.0	3887.0	1630.0	0.7963872085464182	1.6278507948039564
内存清理	46421	112.0	8219.0	8327.0	10206.0	12142.0	7311.0	0.7964320505146222	1.6279503387774894
出租车模拟3d	32285	677.0	11461.0	6226.0	6706.0	5940.0	1259.0	0.7964206054551248	1.627916870745237
化妆小公主-儿童益智	35609	26.0	801.0	4613.0	15221.0	12958.0	1966.0	0.7963680099529975	1.627777971052224
口袋钱包	23219	15.0	5872.0	6609.0	5601.0	4047.0	1073.0	0.7964288003257768	1.627937449695677
台风	21354	234.0	5161.0	4739.0	5129.0	4606.0	1470.0	0.796434167567577	1.6279568185246236
吉祥日历万年历	19113	123.0	3174.0	2974.0	3640.0	5030.0	4139.0	0.7964306441863401	1.6279481274324614
同花顺投资账本	58552	10.0	1745.0	8181.0	15735.0	21235.0	11541.0	0.7963689343345134	1.6277542138161205
向日葵	15445	37.0	5297.0	4026.0	3253.0	1951.0	861.0	0.7964268957816014	1.6279390929282778
咔x修图	11439	242.0	4061.0	2215.0	1894.0	1906.0	1104.0	0.796430784648197	1.6279517902130363
咪咕音乐极速版	652015	3983.0	89948.0	101731.0	159579.0	195338.0	100466.0	0.7962591340657094	1.62751960407285
喔刷商户版	291897	109.0	30739.0	66571.0	86507.0	81567.0	26296.0	0.7963151944667934	1.6276101278969475
嘉实理财嘉	16395	3.0	417.0	1475.0	3181.0	6475.0	4747.0	0.7964056160705152	1.6278733584538347
噪音分贝仪	29699	39.0	2612.0	5521.0	8369.0	9500.0	3619.0	0.7964203015410931	1.6279211129414572
地铁跑酷(oppo定制)	153271	322.0	32844.0	29750.0	41863.0	41500.0	6952.0	0.7964066996181298	1.627838459966071
多彩校园	39854	524.0	33427.0	3630.0	655.0	676.0	928.0	0.7961003169289393	1.6273275515321777
大唐天下	38886	17.0	2073.0	5313.0	9203.0	13961.0	8273.0	0.7963971701187186	1.62784960840431
头条视频	181827	116.0	14956.0	26378.0	40456.0	56743.0	42676.0	0.796304592300128	1.6275673133546826
